hardware_filter,method_id,family,dataset_id,target_regime,modality,count,mean,std,min,max,hardware_mismatch_count,gpu_devices,hardware_profiles
all,supervised,Baseline,citeseer,R1,graph,1,1.2698585999999998,0.0,1.2698585999999998,1.2698585999999998,0,NVIDIA A100-SXM4-80GB,auto
all,supervised,Baseline,cora,R1,graph,1,1.6321052000000003,0.0,1.6321052000000003,1.6321052000000003,0,Tesla V100-SXM2-32GB,auto
all,supervised,Baseline,pubmed,R1,graph,1,1.269761,0.0,1.269761,1.269761,0,NVIDIA A100-SXM4-80GB,auto
all,dynamic_label_propagation,Classical transductive,citeseer,R1,graph,1,0.44064420000000004,0.0,0.44064420000000004,0.44064420000000004,0,Unknown,auto
all,dynamic_label_propagation,Classical transductive,cora,R1,graph,1,0.6248846,0.0,0.6248846,0.6248846,0,Unknown,auto
all,dynamic_label_propagation,Classical transductive,pubmed,R1,graph,1,52.8171646,0.0,52.8171646,52.8171646,0,Unknown,auto
all,graph_mincuts,Classical transductive,citeseer,R1,graph,1,0.1907356,0.0,0.1907356,0.1907356,0,CPU,auto
all,graph_mincuts,Classical transductive,cora,R1,graph,1,0.2319216,0.0,0.2319216,0.2319216,0,CPU,auto
all,graph_mincuts,Classical transductive,pubmed,R1,graph,1,0.21977280000000002,0.0,0.21977280000000002,0.21977280000000002,0,CPU,auto
all,graphhop,Classical transductive,citeseer,R1,graph,1,10.818123,0.0,10.818123,10.818123,0,Unknown,auto
all,graphhop,Classical transductive,cora,R1,graph,1,15.9537674,0.0,15.9537674,15.9537674,0,Unknown,auto
all,graphhop,Classical transductive,pubmed,R1,graph,1,15.204452799999999,0.0,15.204452799999999,15.204452799999999,0,Unknown,auto
all,label_propagation,Classical transductive,citeseer,R1,graph,1,0.1982616,0.0,0.1982616,0.1982616,0,Unknown,auto
all,label_propagation,Classical transductive,cora,R1,graph,1,0.22367900000000002,0.0,0.22367900000000002,0.22367900000000002,0,Unknown,auto
all,label_propagation,Classical transductive,pubmed,R1,graph,1,0.1954248,0.0,0.1954248,0.1954248,0,Unknown,auto
all,label_spreading,Classical transductive,citeseer,R1,graph,1,0.1810296,0.0,0.1810296,0.1810296,0,Unknown,auto
all,label_spreading,Classical transductive,cora,R1,graph,1,0.20693419999999998,0.0,0.20693419999999998,0.20693419999999998,0,Unknown,auto
all,label_spreading,Classical transductive,pubmed,R1,graph,1,0.1775952,0.0,0.1775952,0.1775952,0,Unknown,auto
all,lazy_random_walk,Classical transductive,citeseer,R1,graph,1,0.20781200000000002,0.0,0.20781200000000002,0.20781200000000002,0,Unknown,auto
all,lazy_random_walk,Classical transductive,cora,R1,graph,1,0.2431098,0.0,0.2431098,0.2431098,0,Unknown,auto
all,lazy_random_walk,Classical transductive,pubmed,R1,graph,1,1.7844031999999999,0.0,1.7844031999999999,1.7844031999999999,0,Unknown,auto
all,mean_teacher,Consistency,citeseer,R1,graph,1,1.4281798,0.0,1.4281798,1.4281798,0,NVIDIA A100-SXM4-80GB,auto
all,mean_teacher,Consistency,cora,R1,graph,1,2.1063918,0.0,2.1063918,2.1063918,0,Tesla V100-SXM2-32GB,auto
all,mean_teacher,Consistency,pubmed,R1,graph,1,1.3872464,0.0,1.3872464,1.3872464,0,NVIDIA A100-SXM4-80GB,auto
all,pi_model,Consistency,citeseer,R1,graph,1,1.3893942,0.0,1.3893942,1.3893942,0,NVIDIA A100-SXM4-80GB,auto
all,pi_model,Consistency,cora,R1,graph,1,2.0535272,0.0,2.0535272,2.0535272,0,Tesla V100-SXM2-32GB,auto
all,pi_model,Consistency,pubmed,R1,graph,1,1.3784698,0.0,1.3784698,1.3784698,0,NVIDIA A100-SXM4-80GB,auto
all,temporal_ensembling,Consistency,citeseer,R1,graph,1,1.4842306,0.0,1.4842306,1.4842306,0,NVIDIA A100-SXM4-80GB,auto
all,temporal_ensembling,Consistency,cora,R1,graph,1,2.1182206,0.0,2.1182206,2.1182206,0,Tesla V100-SXM2-32GB,auto
all,temporal_ensembling,Consistency,pubmed,R1,graph,1,1.4208194,0.0,1.4208194,1.4208194,0,NVIDIA A100-SXM4-80GB,auto
all,vat,Consistency,citeseer,R1,graph,1,1.4244088,0.0,1.4244088,1.4244088,0,NVIDIA A100-SXM4-80GB,auto
all,vat,Consistency,cora,R1,graph,1,2.1927475999999997,0.0,2.1927475999999997,2.1927475999999997,0,Tesla V100-SXM2-32GB,auto
all,vat,Consistency,pubmed,R1,graph,1,1.4394878,0.0,1.4394878,1.4394878,0,NVIDIA A100-SXM4-80GB,auto
all,appnp,GNN,citeseer,R1,graph,1,1.0197138000000001,0.0,1.0197138000000001,1.0197138000000001,0,Unknown,auto
all,appnp,GNN,cora,R1,graph,1,1.3766782,0.0,1.3766782,1.3766782,0,Unknown,auto
all,appnp,GNN,pubmed,R1,graph,1,1.0611872,0.0,1.0611872,1.0611872,0,Unknown,auto
all,chebnet,GNN,citeseer,R1,graph,1,1.0398706,0.0,1.0398706,1.0398706,0,Unknown,auto
all,chebnet,GNN,cora,R1,graph,1,1.0005013999999999,0.0,1.0005013999999999,1.0005013999999999,0,Unknown,auto
all,chebnet,GNN,pubmed,R1,graph,1,1.3267214,0.0,1.3267214,1.3267214,0,Unknown,auto
all,gat,GNN,citeseer,R1,graph,1,1.1601127999999998,0.0,1.1601127999999998,1.1601127999999998,0,Unknown,auto
all,gat,GNN,cora,R1,graph,1,1.8016815999999998,0.0,1.8016815999999998,1.8016815999999998,0,Unknown,auto
all,gat,GNN,pubmed,R1,graph,1,1.6381599999999998,0.0,1.6381599999999998,1.6381599999999998,0,Unknown,auto
all,gcn,GNN,citeseer,R1,graph,1,0.7161218,0.0,0.7161218,0.7161218,0,Unknown,auto
all,gcn,GNN,cora,R1,graph,1,0.9158251999999999,0.0,0.9158251999999999,0.9158251999999999,0,Unknown,auto
all,gcn,GNN,pubmed,R1,graph,1,0.8127282000000001,0.0,0.8127282000000001,0.8127282000000001,0,Unknown,auto
all,gcnii,GNN,citeseer,R1,graph,1,1.6155998,0.0,1.6155998,1.6155998,0,Unknown,auto
all,gcnii,GNN,cora,R1,graph,1,3.4159956,0.0,3.4159956,3.4159956,0,Unknown,auto
all,gcnii,GNN,pubmed,R1,graph,1,2.3040326,0.0,2.3040326,2.3040326,0,Unknown,auto
all,grafn,GNN,citeseer,R1,graph,1,1.2689702,0.0,1.2689702,1.2689702,0,Unknown,auto
all,grafn,GNN,cora,R1,graph,1,2.4751366,0.0,2.4751366,2.4751366,0,Unknown,auto
all,grafn,GNN,pubmed,R1,graph,1,1.8889076,0.0,1.8889076,1.8889076,0,Unknown,auto
all,grand,GNN,citeseer,R1,graph,1,3.8951726,0.0,3.8951726,3.8951726,0,Unknown,auto
all,grand,GNN,cora,R1,graph,1,3.1574998,0.0,3.1574998,3.1574998,0,Unknown,auto
all,grand,GNN,pubmed,R1,graph,1,4.3014536,0.0,4.3014536,4.3014536,0,Unknown,auto
all,graphsage,GNN,citeseer,R1,graph,1,0.7555524,0.0,0.7555524,0.7555524,0,Unknown,auto
all,graphsage,GNN,cora,R1,graph,1,0.9158398,0.0,0.9158398,0.9158398,0,Unknown,auto
all,graphsage,GNN,pubmed,R1,graph,1,0.9449935999999999,0.0,0.9449935999999999,0.9449935999999999,0,Unknown,auto
all,h_gcn,GNN,citeseer,R1,graph,1,4.343145,0.0,4.343145,4.343145,0,Unknown,auto
all,h_gcn,GNN,cora,R1,graph,1,2.416781,0.0,2.416781,2.416781,0,Unknown,auto
all,h_gcn,GNN,pubmed,R1,graph,1,30.1463036,0.0,30.1463036,30.1463036,0,Unknown,auto
all,n_gcn,GNN,citeseer,R1,graph,1,12.6189526,0.0,12.6189526,12.6189526,0,Unknown,auto
all,n_gcn,GNN,cora,R1,graph,1,6.0059658,0.0,6.0059658,6.0059658,0,Unknown,auto
all,n_gcn,GNN,pubmed,R1,graph,1,79.94163280000001,0.0,79.94163280000001,79.94163280000001,0,Unknown,auto
all,planetoid,GNN,citeseer,R1,graph,1,40.4609356,0.0,40.4609356,40.4609356,0,Unknown,auto
all,planetoid,GNN,cora,R1,graph,1,178.6796026,0.0,178.6796026,178.6796026,0,Unknown,auto
all,planetoid,GNN,pubmed,R1,graph,1,293.4221784,0.0,293.4221784,293.4221784,0,Unknown,auto
all,sgc,GNN,citeseer,R1,graph,1,0.5551284,0.0,0.5551284,0.5551284,0,Unknown,auto
