hardware_filter,method_id,family,dataset_id,target_regime,modality,count,mean,std,min,max,hardware_mismatch_count,gpu_devices,hardware_profiles
all,supervised,Baseline,citeseer,R1,graph,6,1.0881273333333332,2.215081411452831,0.178744,5.609628,0,NVIDIA A100-SXM4-80GB|Unknown,auto
all,supervised,Baseline,cora,R1,graph,6,1.4010996666666669,2.866925829347573,0.212724,7.253123,0,Tesla V100-SXM2-32GB|Unknown,auto
all,supervised,Baseline,pubmed,R1,graph,6,1.0838871666666667,2.27377472842614,0.152509,5.725203,0,NVIDIA A100-SXM4-80GB|Unknown,auto
all,dynamic_label_propagation,Classical transductive,citeseer,R1,graph,6,0.4246206666666667,0.20078074710555957,0.340594,0.83445,0,Unknown,auto
all,dynamic_label_propagation,Classical transductive,cora,R1,graph,6,0.6154000000000001,0.20281561039229698,0.498235,1.025139,0,Unknown,auto
all,dynamic_label_propagation,Classical transductive,pubmed,R1,graph,6,52.80353716666667,0.193630689329369,52.661019,53.186917,0,Unknown,auto
all,graph_mincuts,Classical transductive,citeseer,R1,graph,6,0.17203483333333336,0.22859606514147765,0.077385,0.63865,0,CPU,auto
all,graph_mincuts,Classical transductive,cora,R1,graph,6,0.20275949999999998,0.3472757754435227,0.056949,0.911592,0,CPU,auto
all,graph_mincuts,Classical transductive,pubmed,R1,graph,6,0.20022766666666666,0.23412346668684594,0.102502,0.678064,0,CPU,auto
all,graphhop,Classical transductive,citeseer,R1,graph,6,10.739639333333335,0.8078725700350682,10.313897,12.373323,0,Unknown,auto
all,graphhop,Classical transductive,cora,R1,graph,6,15.916367666666666,0.8163104535294567,15.427346,17.563873,0,Unknown,auto
all,graphhop,Classical transductive,pubmed,R1,graph,6,17.513680666666666,8.988608622923298,11.039874,29.05982,0,Unknown,auto
all,label_propagation,Classical transductive,citeseer,R1,graph,6,0.18673266666666666,0.14068337506993023,0.128239,0.473893,0,Unknown,auto
all,label_propagation,Classical transductive,cora,R1,graph,6,0.210381,0.15788456611714774,0.141617,0.532404,0,Unknown,auto
all,label_propagation,Classical transductive,pubmed,R1,graph,6,0.18329533333333334,0.14804653209132143,0.121333,0.485481,0,Unknown,auto
all,label_spreading,Classical transductive,citeseer,R1,graph,6,0.16866516666666667,0.14944107281924426,0.106843,0.473706,0,Unknown,auto
all,label_spreading,Classical transductive,cora,R1,graph,6,0.19138616666666666,0.16707840843079236,0.113547,0.531098,0,Unknown,auto
all,label_spreading,Classical transductive,pubmed,R1,graph,6,0.164965,0.15474779693811475,0.10101,0.48084,0,Unknown,auto
all,lazy_random_walk,Classical transductive,citeseer,R1,graph,6,0.1887735,0.2826195790215179,0.059017,0.764703,0,Unknown,auto
all,lazy_random_walk,Classical transductive,cora,R1,graph,6,0.22805283333333334,0.22203816180415173,0.113532,0.680299,0,Unknown,auto
all,lazy_random_walk,Classical transductive,pubmed,R1,graph,6,1.764563,0.2614095735102293,1.642502,2.297844,0,Unknown,auto
all,mean_teacher,Consistency,citeseer,R1,graph,6,1.2425033333333333,2.275391797186644,0.310389,5.887126,0,NVIDIA A100-SXM4-80GB|Unknown,auto
all,mean_teacher,Consistency,cora,R1,graph,6,1.8717429999999997,2.867480342718394,0.697956,7.724955,0,Tesla V100-SXM2-32GB|Unknown,auto
all,mean_teacher,Consistency,pubmed,R1,graph,6,1.2019221666666666,2.258496097123873,0.275301,5.812045,0,NVIDIA A100-SXM4-80GB|Unknown,auto
all,pi_model,Consistency,citeseer,R1,graph,6,1.206744,2.2277756766299426,0.293493,5.754161,0,NVIDIA A100-SXM4-80GB|Unknown,auto
all,pi_model,Consistency,cora,R1,graph,6,1.8161001666666674,2.8827128618449955,0.628965,7.700387,0,Tesla V100-SXM2-32GB|Unknown,auto
all,pi_model,Consistency,pubmed,R1,graph,6,1.195150333333333,2.242867436974523,0.277669,5.773383,0,NVIDIA A100-SXM4-80GB|Unknown,auto
all,temporal_ensembling,Consistency,citeseer,R1,graph,6,1.2936198333333333,2.3318867637568013,0.337494,6.053556,0,NVIDIA A100-SXM4-80GB|Unknown,auto
all,temporal_ensembling,Consistency,cora,R1,graph,6,1.8881924999999997,2.809532546590891,0.738052,7.623124,0,Tesla V100-SXM2-32GB|Unknown,auto
all,temporal_ensembling,Consistency,pubmed,R1,graph,6,1.2357003333333336,2.2606430905677852,0.310105,5.850214,0,NVIDIA A100-SXM4-80GB|Unknown,auto
all,vat,Consistency,citeseer,R1,graph,6,1.2466241666666666,2.183308204226459,0.351695,5.703281,0,NVIDIA A100-SXM4-80GB|Unknown,auto
all,vat,Consistency,cora,R1,graph,6,1.963811,2.8056793956657273,0.815491,7.690879,0,Tesla V100-SXM2-32GB|Unknown,auto
all,vat,Consistency,pubmed,R1,graph,6,1.2552481666666668,2.2525689814227148,0.33405,5.853284,0,NVIDIA A100-SXM4-80GB|Unknown,auto
all,appnp,GNN,citeseer,R1,graph,6,0.9654303333333333,0.7822730724747379,0.417251,2.542449,0,Unknown,auto
all,appnp,GNN,cora,R1,graph,6,1.3120135,0.8757222129663607,0.529873,2.998961,0,Unknown,auto
